battery,cycle,soh_true,split,physics,gp,hybrid,persistence,drift,physics_fit,hybrid_fit
B0005,1.0,1.0,True,,,,,,0.9998204629121502,0.9723270355246656
B0005,2.0,0.9945272071416716,True,,,,,,0.9994921924308277,0.9745268767917863
B0005,3.0,0.9886138595081709,True,,,,,,0.9990670979260036,0.9758376911868878
B0005,4.0,0.9885671763794176,True,,,,,,0.9985637032972017,0.9766743825994737
B0005,5.0,0.9882348178817774,True,,,,,,0.9979927143354277,0.9772001828206152
B0005,6.0,0.9887821697485946,True,,,,,,0.9973613544691768,0.9775000730837384
B0005,7.0,0.988504485591348,True,,,,,,0.9966749266010572,0.9776252881119503
B0005,8.0,0.983446895515155,True,,,,,,0.9959375394466221,0.9776097015245969
B0005,9.0,0.9829174345738108,True,,,,,,0.9951524986280562,0.9774771836019329
B0005,10.0,0.9828309354731993,True,,,,,,0.99432253877921,0.9772453620444588
B0005,11.0,0.9828343204622081,True,,,,,,0.9934499712801418,0.9769277299136362
B0005,12.0,0.9772228539894283,True,,,,,,0.9925367834080301,0.9765349121015559
B0005,13.0,0.9769805803238794,True,,,,,,0.9915847077108326,0.9760754687308436
B0005,14.0,0.9768127007692821,True,,,,,,0.9905952722066589,0.9755564276113738
B0005,15.0,0.970972376875165,True,,,,,,0.9895698377309696,0.9749836500951516
B0005,16.0,0.9707078432300708,True,,,,,,0.9885096263776156,0.974362090188339
B0005,17.0,0.9709624103091469,True,,,,,,0.9874157435923543,0.973695982861867
B0005,18.0,0.9712257104811379,True,,,,,,0.9862891956323511,0.9729889839891694
B0005,19.0,0.9710691300699021,True,,,,,,0.9851309035714616,0.9722442763774117
B0005,20.0,0.9949035873989022,True,,,,,,0.9839417146834242,0.9714646514944296
B0005,21.0,0.9951143705942723,True,,,,,,0.9827224118024083,0.970652573427103
B0005,22.0,0.9890599854098061,True,,,,,,0.9814737211008882,0.9698102296195557
B0005,23.0,0.9834597999985368,True,,,,,,0.9801963186131876,0.9689395716197392
B0005,24.0,0.98310046329509,True,,,,,,0.9788908357534185,0.9680423481670664
B0005,25.0,0.9833524772367375,True,,,,,,0.9775578640187819,0.9671201323336116
B0005,26.0,0.9771308478400272,True,,,,,,0.9761979590266538,0.9661743439944466
B0005,27.0,0.9775284086310276,True,,,,,,0.9748116440021043,0.965206268589824
B0005,28.0,0.9770975921350079,True,,,,,,0.9733994128084622,0.9642170729146168
B0005,29.0,0.9710626880376824,True,,,,,,0.9719617325951485,0.9632078185030328
B0005,30.0,0.9717690623092359,True,,,,,,0.9704990461227732,0.9621794730518292
B0005,31.0,0.9974764875349151,True,,,,,,0.9690117738143821,0.9611329202311565
B0005,32.0,0.986111634878274,True,,,,,,0.967500315572983,0.9600689681604607
B0005,33.0,0.980294338944722,True,,,,,,0.9659650523985159,0.9589883567716713
B0005,34.0,0.9745867078945718,True,,,,,,0.9644063478318573,0.9578917642390792
B0005,35.0,0.9720560906279805,True,,,,,,0.9628245492489458,0.9567798126217273
B0005,36.0,0.9692374130950109,True,,,,,,0.961219989024457,0.9556530728376575
B0005,37.0,0.9633478867036311,True,,,,,,0.9595929855814646,0.9545120690682835
B0005,38.0,0.9603744299218229,True,,,,,,0.9579438443410594,0.9533572826742851
B0005,39.0,0.9550475246530086,True,,,,,,0.9562728585838652,0.9521891556908226
B0005,40.0,0.9550497004162606,True,,,,,,0.9545803102336881,0.9510080939588281
B0005,41.0,0.9522672175646101,True,,,,,,0.9528664705721219,0.949814469940132
B0005,42.0,0.949273908698317,True,,,,,,0.9511316008917419,0.9486086252568009
B0005,43.0,0.9521299593373238,True,,,,,,0.9493759530945067,0.9473908729889633
B0005,44.0,0.9494642085785512,True,,,,,,0.9475997702411444,0.9461614997603575
B0005,45.0,0.943572505486961,True,,,,,,0.945803287056563,0.9449207676366294
B0005,46.0,0.938250152014693,True,,,,,,0.943986730395714,0.9436689158578875
B0005,47.0,0.9351484592444024,True,,,,,,0.9421503196737987,0.9424061624240776
B0005,48.0,0.9661385230754259,True,,,,,,0.9402942672642521,0.9411327055492341
B0005,49.0,0.9605176972012412,True,,,,,,0.9384187788675433,0.9398487249985659
B0005,50.0,0.9519936347583846,True,,,,,,0.9365240538534864,0.938554383320538
B0005,51.0,0.9464205172265515,True,,,,,,0.9346102855794604,0.9372498269845744
B0005,52.0,0.9409547290193554,True,,,,,,0.9326776616866741,0.9359351874337087
B0005,53.0,0.938178859288008,True,,,,,,0.930726364376387,0.9346105820603754
B0005,54.0,0.9353268361401418,True,,,,,,0.9287565706677954,0.933276115112573
B0005,55.0,0.9298860334657103,True,,,,,,0.9267684526391219,0.931931878536791
B0005,56.0,0.9242220117908769,True,,,,,,0.9247621776532859,0.930577952763366
B0005,57.0,0.9213816005181211,True,,,,,,0.9227379085694036,0.9292144074393061
B0005,58.0,0.9189475137389715,True,,,,,,0.920695803941239,0.927841302113073
B0005,59.0,0.9158753289666403,True,,,,,,0.9186360182036247,0.9264586868753322
B0005,60.0,0.9127882263985316,True,,,,,,0.9165587018477734,0.9250666029592558
B0005,61.0,0.9075757205607078,True,,,,,,0.9144640015863172,0.9236650833036115
B0005,62.0,0.9019582574806935,True,,,,,,0.9123520605088365,0.9222541530815221
B0005,63.0,0.9020094772578233,True,,,,,,0.9102230182285703,0.9208338301975191
B0005,64.0,0.8961635599169332,True,,,,,,0.9080770110209427,0.9194041257552426
B0005,65.0,0.8936305466681354,True,,,,,,0.905914171954481,0.9179650444979279
B0005,66.0,0.8908512057704359,True,,,,,,0.9037346310146565,0.9165165852236173
B0005,67.0,0.8848181591266645,True,,,,,,0.9015385152211308,0.91505874117685
B0005,68.0,0.8822348186450751,False,0.899325948738854,0.8879845527809146,0.913591500418446,0.8848181591266645,0.9110786346091497,0.899325948738854,0.913591500418446
B0005,69.0,0.879475412761139,False,0.8970970529834205,0.8877117564640097,0.912114846174839,0.8848181591266645,0.909678348947885,0.8970970529834205,0.912114846174839
B0005,70.0,0.8767917699307699,False,0.8948519467210624,0.888110548610158,0.9106287571682976,0.8848181591266645,0.9082780632866203,0.8948519467210624,0.9106287571682976
B0005,71.0,0.8737605584239757,False,0.8925907461636228,0.8891506715516863,0.909133207929262,0.8848181591266645,0.9068777776253556,0.8925907461636228,0.909133207929262
B0005,72.0,0.867943214862437,False,0.8903135650588301,0.8907860303563392,0.9076281690919208,0.8848181591266645,0.9054774919640908,0.8903135650588301,0.9076281690919208
B0005,73.0,0.8653778753000242,False,0.8880205147761684,0.8929575885272738,0.9061136076740537,0.8848181591266645,0.9040772063028261,0.8880205147761684,0.9061136076740537
B0005,74.0,0.8626582682073707,False,0.885711704388615,0.8955965113871891,0.9045894873421052,0.8848181591266645,0.9026769206415614,0.885711704388615,0.9045894873421052
B0005,75.0,0.8566549999565577,False,0.8833872407504998,0.8986273763778008,0.9030557686623522,0.8848181591266645,0.9012766349802966,0.8833872407504998,0.9030557686623522
B0005,76.0,0.8541878490754123,False,0.8810472285717159,0.9019712904347666,0.9015124093389855,0.8848181591266645,0.8998763493190318,0.8810472285717159,0.9015124093389855
B0005,77.0,0.8537321895986373,False,0.8786917704885038,0.9055487820106759,0.8999593644398525,0.8848181591266645,0.8984760636577671,0.8786917704885038,0.8999593644398525
