Battery,id_cycle,Capacity,SoH
B0005,1,1.8564874208181568,1.0
B0005,2,1.8463272497199268,0.9945272071416716
B0005,3,1.835349194223408,0.9886138595081709
B0005,4,1.8352625275821128,0.9885671763794176
B0005,5,1.8346455082120416,0.9882348178817774
B0005,6,1.8356616600675493,0.9887821697485946
B0005,7,1.8351461429226603,0.988504485591348
B0005,8,1.8257567905665533,0.983446895515155
B0005,9,1.8247738529891333,0.9829174345738108
B0005,10,1.824613268496936,0.9828309354731993
B0005,11,1.8246195526864504,0.9828343204622081
B0005,12,1.814201935767392,0.9772228539894283
B0005,13,1.8137521577549047,0.9769805803238794
B0005,14,1.8134404914735824,0.9768127007692821
B0005,15,1.8025980036306504,0.970972376875165
B0005,16,1.8021069002461496,0.9707078432300708
B0005,17,1.8025795008262089,0.9709624103091469
B0005,18,1.8030683142834096,0.9712257104811379
B0005,19,1.802777624719604,0.9710691300699021
B0005,20,1.8470259949329195,0.9949035873989022
B0005,21,1.847417311283644,0.9951143705942723
B0005,22,1.8361774213478947,0.9890599854098061
B0005,23,1.825780747577624,0.9834597999985368
B0005,24,1.8251136435078368,0.98310046329509
B0005,25,1.825581504220376,0.9833524772367375
B0005,26,1.814031127508391,0.9771308478400272
B0005,27,1.8147691941158937,0.9775284086310276
B0005,28,1.813969388710352,0.9770975921350079
B0005,29,1.8027656651678232,0.9710626880376824
B0005,30,1.804077040117352,0.9717690623092359
B0005,31,1.8518025516704488,0.9974764875349151
B0005,32,1.8307038456739428,0.986111634878274
B0005,33,1.8199041089501269,0.980294338944722
B0005,34,1.809307963702852,0.9745867078945718
B0005,35,1.80460990458052,0.9720560906279805
B0005,36,1.7993770651972192,0.9692374130950109
B0005,37,1.7884432335370462,0.9633478867036311
B0005,38,1.7829230484252725,0.9603744299218229
B0005,39,1.7730337158018288,0.9550475246530086
B0005,40,1.773037755078937,0.9550497004162606
B0005,41,1.7678721106662054,0.9522672175646101
B0005,42,1.762315070409309,0.949273908698317
B0005,43,1.7676172924938447,0.9521299593373238
B0005,44,1.762668359743147,0.9494642085785512
B0005,45,1.7517304870664143,0.943572505486961
B0005,46,1.7418496047960008,0.938250152014693
B0005,47,1.7360913511847138,0.9351484592444024
B0005,48,1.7936240148573608,0.9661385230754259
B0005,49,1.7831890223273277,0.9605176972012412
B0005,50,1.7673642076278957,0.9519936347583846
B0005,51,1.7570177850353066,0.9464205172265515
B0005,52,1.7468706179837907,0.9409547290193554
B0005,53,1.7417172507457144,0.938178859288008
B0005,54,1.7364225056478186,0.9353268361401418
B0005,55,1.7263217239235826,0.9298860334657103
B0005,56,1.7158065389330133,0.9242220117908769
B0005,57,1.710533351135192,0.9213816005181211
B0005,58,1.706014499648521,0.9189475137389715
B0005,59,1.7003110272642588,0.9158753289666403
B0005,60,1.6945798601797897,0.9127882263985316
B0005,61,1.6849029086609286,0.9075757205607078
B0005,62,1.6744741591159715,0.9019582574806935
B0005,63,1.6745692479879102,0.9020094772578233
B0005,64,1.663716375981405,0.8961635599169332
B0005,65,1.659013868748246,0.8936305466681354
B0005,66,1.6538540573335014,0.8908512057704359
B0005,67,1.6426537821301308,0.8848181591266645
B0005,68,1.6378578430223698,0.8822348186450751
B0005,69,1.6327350407099108,0.879475412761139
B0005,70,1.6277528915533617,0.8767917699307699
B0005,71,1.622125485521159,0.8737605584239757
B0005,72,1.6113256603765849,0.867943214862437
B0005,73,1.6065631397488385,0.8653778753000242
B0005,74,1.6015142233917594,0.8626582682073707
B0005,75,1.590369231400328,0.8566549999565577
B0005,76,1.5857889968242211,0.8541878490754123
B0005,77,1.5849430707374117,0.8537321895986373
B0005,78,1.5955263892495937,0.8594329115068514
B0005,79,1.5747301747801037,0.8482309964083234
B0005,80,1.5649019950937946,0.8429370312695897
B0005,81,1.5597659473370362,0.8401704907053155
B0005,82,1.5594815668184234,0.8400173086716406
B0005,83,1.55468935359061,0.8374359751414077
B0005,84,1.5488741079890418,0.8343035835418969
B0005,85,1.5382365989425582,0.8285736718133296
B0005,86,1.527914258251028,0.8230135260370759
B0005,87,1.5285252629756445,0.8233426447360581
B0005,88,1.5226473252843782,0.8201764839394092
B0005,89,1.5174859938489869,0.8173963242800905
B0005,90,1.605818899130659,0.864976988868027
B0005,91,1.5638491446744425,0.8423699116610507
B0005,92,1.5480915247767786,0.8338820438085879
B0005,93,1.5323755631868592,0.8254166152720491
B0005,94,1.5269528268489705,0.822495649432432
B0005,95,1.5169573017136326,0.8171115433925792
B0005,96,1.511897596014269,0.8143861246029739
B0005,97,1.5065638960681105,0.8115131183620762
B0005,98,1.5015453526671363,0.8088098717121407
B0005,99,1.4908444050400238,0.8030457886878687
B0005,100,1.485868384561201,0.8003654470798282
B0005,101,1.480413677976106,0.7974272604140163
B0005,102,1.4752095869031632,0.7946240682056634
B0005,103,1.4859035988304024,0.8003844153038012
B0005,104,1.4960918298136696,0.8058723226653158
B0005,105,1.4808005946928984,0.7976356737393391
B0005,106,1.4697543268466824,0.7916855834115802
B0005,107,1.4539012274845928,0.7831462853887027
B0005,108,1.454146206723569,0.7832782438583531
B0005,109,1.455023751906683,0.7837509350133124
B0005,110,1.4490421637612358,0.7805289427291895
B0005,111,1.4386709371480566,0.7749424644709051
B0005,112,1.4334454321569792,0.7721277376203592
B0005,113,1.4333958900838095,0.7721010517012337
B0005,114,1.42806487344776,0.7692294908297357
B0005,115,1.4229203181741186,0.7664583676775119
B0005,116,1.417429032731308,0.7635004777498815
B0005,117,1.412409228794446,0.7607965521102186
B0005,118,1.4125787929401932,0.760887888115971
B0005,119,1.4075983731469897,0.7582051768100099
B0005,120,1.4333920485221476,0.7720989824377316
B0005,121,1.4382550176792908,0.7747184287655715
B0005,122,1.4173547174485526,0.7634604477007025
B0005,123,1.4069816636776429,0.757872985240904
B0005,124,1.4012037783587623,0.7547607178190573
B0005,125,1.3967008232726328,0.752335193662182
B0005,126,1.391284788852726,0.7494178378216991
B0005,127,1.3862287677978349,0.746694403771894
B0005,128,1.3804366761974138,0.7435744841131503
B0005,129,1.3752364150256224,0.7407733548873462
B0005,130,1.3705128024895008,0.738228973232425
B0005,131,1.37050855662704,0.7382266861916333
B0005,132,1.3647355108681518,0.7351170256067293
B0005,133,1.375392016895762,0.7408571700903983
B0005,134,1.3861115151535393,0.7466312454423623
B0005,135,1.369850003583894,0.7378719555127388
B0005,136,1.3647827949260758,0.7351424952422322
B0005,137,1.3543220466259964,0.7295077959801876
B0005,138,1.3546417018378962,0.7296799787853686
B0005,139,1.354703921319241,0.7297134934112405
B0005,140,1.349314997503458,0.72681074074222
B0005,141,1.3441891937970554,0.724049718152504
B0005,142,1.3389913790695755,0.7212499067079485
B0005,143,1.3389145230206971,0.7212085080709222
